Date Time,load_all_real_time,elia_day_ahead
01/01/2015 00,9992.03,9256.35
01/01/2015 01,9551.83,9059.912499999999
01/01/2015 02,9152.0225,8628.985
01/01/2015 03,8798.702500000001,8353.185
01/01/2015 04,8567.099999999999,8166.775000000001
01/01/2015 05,8487.4375,8099.2125
01/01/2015 06,8428.375,8146.135
01/01/2015 07,8122.4825,7960.905
01/01/2015 08,8179.4075,7925.9175
01/01/2015 09,8339.655,5806.320000000001
01/01/2015 10,8677.439999999999,6127.914999999999
01/01/2015 11,8898.695,6453.095
01/01/2015 12,9092.48,6605.389999999999
01/01/2015 13,9087.9025,6549.29
01/01/2015 14,8940.2075,6433.285
01/01/2015 15,8919.4525,6377.5325
01/01/2015 16,9016.7475,6435.83
01/01/2015 17,9664.275,6932.59
01/01/2015 18,9914.2925,6993.54
01/01/2015 19,9852.0525,6903.785
01/01/2015 20,9573.3875,6646.8425
01/01/2015 21,9421.717499999999,6564.7300000000005
01/01/2015 22,9896.2075,7048.9425
01/01/2015 23,10061.7425,7747.06
02/01/2015 00,9489.2025,8396.9825
02/01/2015 01,9001.189999999999,8978.23
02/01/2015 02,8571.0725,8563.4
02/01/2015 03,8321.0625,8379.8225
02/01/2015 04,8276.5225,8392.9925
02/01/2015 05,8516.759999999998,8422.677499999998
02/01/2015 06,8999.8975,8845.484999999999
02/01/2015 07,9226.4125,9758.16
02/01/2015 08,9768.675,10069.5625
02/01/2015 09,10243.349999999999,9911.61
02/01/2015 10,10556.685,10167.895
02/01/2015 11,10780.5325,10161.557499999999
02/01/2015 12,10769.8675,10151.52
02/01/2015 13,10605.797499999999,10089.79
02/01/2015 14,10320.13,9933.965
02/01/2015 15,10225.445,9841.57
02/01/2015 16,10394.422499999999,10029.0975
02/01/2015 17,11211.529999999999,10285.1575
02/01/2015 18,11428.647500000001,10493.887499999999
02/01/2015 19,11056.5925,10189.2875
02/01/2015 20,10515.9725,9612.42
02/01/2015 21,9993.43,9163.942500000001
02/01/2015 22,10362.4225,9374.4475
02/01/2015 23,10440.005000000001,9499.9625
03/01/2015 00,9880.21,9537.7275
03/01/2015 01,9294.705,9357.305
03/01/2015 02,8900.805,9014.0725
03/01/2015 03,8550.545,8678.164999999999
03/01/2015 04,8535.58,8442.455
03/01/2015 05,8619.287499999999,8668.2125
03/01/2015 06,8921.48,8871.3975
03/01/2015 07,9009.8425,9048.75
03/01/2015 08,9605.482500000002,9539.580000000002
03/01/2015 09,10117.205000000002,10064.6375
