Date Time,solar_all_real_time,solar_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
01/01/2015 00,0.0,2915.88,0.0,0.0,
01/01/2015 01,0.0,2915.88,0.0,0.0,
01/01/2015 02,0.0,2915.88,0.0,0.0,
01/01/2015 03,0.0,2915.88,0.0,0.0,
01/01/2015 04,0.0,2915.88,0.0,0.0,
01/01/2015 05,0.0,2915.88,0.0,0.0,
01/01/2015 06,0.0,2915.88,0.0,0.0,
01/01/2015 07,0.0,2915.88,0.0,0.0,
01/01/2015 08,0.0375,2915.88,0.1475,0.1475,
01/01/2015 09,92.655,2915.88,92.66499999999999,111.3675,
01/01/2015 10,374.885,2915.88,291.595,392.36,
01/01/2015 11,739.9200000000001,2915.88,449.755,620.5775,
01/01/2015 12,938.055,2915.88,562.595,694.2750000000001,
01/01/2015 13,848.65,2915.88,601.225,616.355,
01/01/2015 14,537.155,2915.88,532.9875,448.95500000000004,
01/01/2015 15,256.615,2915.88,283.1,224.5325,
01/01/2015 16,40.905,2915.88,58.4225,53.19,
01/01/2015 17,0.0,2915.88,0.0,0.0,
01/01/2015 18,0.0,2915.88,0.0,0.0,
01/01/2015 19,0.0,2915.88,0.0,0.0,
01/01/2015 20,0.0,2915.88,0.0,0.0,
01/01/2015 21,0.0,2915.88,0.0,0.0,
01/01/2015 22,0.0,2915.88,0.0,0.0,
01/01/2015 23,0.0,2915.88,0.0,0.0,
02/01/2015 00,0.0,2915.88,0.0,0.0,
02/01/2015 01,0.0,2915.88,0.0,0.0,
02/01/2015 02,0.0,2915.88,0.0,0.0,
02/01/2015 03,0.0,2915.88,0.0,0.0,
02/01/2015 04,0.0,2915.88,0.0,0.0,
02/01/2015 05,0.0,2915.88,0.0,0.0,
02/01/2015 06,0.0,2915.88,0.0,0.0,
02/01/2015 07,0.0,2915.88,0.0,0.0,
02/01/2015 08,0.0,2915.88,0.0125,0.015,
02/01/2015 09,6.9625,2915.88,31.025,46.725,
02/01/2015 10,70.8875,2915.88,88.72749999999999,140.6175,
02/01/2015 11,169.0825,2915.88,157.565,268.62,
02/01/2015 12,329.49,2915.88,235.57750000000001,399.58500000000004,
02/01/2015 13,554.9325,2915.88,288.5625,483.36499999999995,
02/01/2015 14,582.9024999999999,2915.88,319.8425,474.79749999999996,
02/01/2015 15,347.35749999999996,2915.88,210.53750000000002,262.63,
02/01/2015 16,56.265,2915.88,50.404999999999994,58.04,
02/01/2015 17,0.0,2915.88,0.0,0.0,
02/01/2015 18,0.0,2915.88,0.0,0.0,
02/01/2015 19,0.0,2915.88,0.0,0.0,
02/01/2015 20,0.0,2915.88,0.0,0.0,
02/01/2015 21,0.0,2915.88,0.0,0.0,
02/01/2015 22,0.0,2915.88,0.0,0.0,
