Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
01/01/2015 00,685.87,1834.7099999999996,,666.4475,
01/01/2015 01,697.65,1834.7099999999996,,700.5425,
01/01/2015 02,735.9575,1834.7099999999996,,729.385,
01/01/2015 03,769.7,1834.7099999999996,,755.3900000000001,
01/01/2015 04,738.475,1834.7099999999996,,781.05,
01/01/2015 05,731.36,1834.7099999999996,,806.4375,
01/01/2015 06,818.2875000000001,1834.7099999999996,,831.16,
01/01/2015 07,938.79,1834.7099999999996,,863.1675,
01/01/2015 08,1089.6775,1834.7099999999996,,896.0849999999999,
01/01/2015 09,1146.47,1834.7099999999996,,936.0775,
01/01/2015 10,1139.1950000000002,1834.7099999999996,,966.22,
01/01/2015 11,1069.1525,1834.7099999999996,,979.8774999999999,
01/01/2015 12,1022.475,1834.7099999999996,,986.2625,
01/01/2015 13,1100.12,1834.7099999999996,,996.115,
01/01/2015 14,1099.54,1834.7099999999996,,1034.415,
01/01/2015 15,1089.3425,1834.7099999999996,,1094.4225000000001,
01/01/2015 16,1196.355,1834.7099999999996,,1163.3375,
01/01/2015 17,1356.3024999999998,1834.7099999999996,,1243.63,
01/01/2015 18,1463.3175,1834.7099999999996,,1325.1475,
01/01/2015 19,1532.8450000000003,1834.7099999999996,,1397.9550000000002,
01/01/2015 20,1540.5300000000002,1834.7099999999996,,1444.5124999999998,
01/01/2015 21,1593.4825,1834.7099999999996,,1487.5049999999999,
01/01/2015 22,1623.795,1834.7099999999996,,1526.8125,
01/01/2015 23,1634.18,1834.7099999999996,,1556.795,
02/01/2015 00,1630.3525,1834.7099999999996,,1601.5375,
02/01/2015 01,1640.42,1834.7099999999996,,1610.0275,
02/01/2015 02,1642.4225,1834.7099999999996,,1619.84,
02/01/2015 03,1622.6425,1834.7099999999996,,1631.2175,
02/01/2015 04,1623.4875,1834.7099999999996,,1630.5425,
02/01/2015 05,1581.0075,1834.7099999999996,,1616.3149999999998,
02/01/2015 06,1551.6999999999998,1834.7099999999996,,1596.6625,
02/01/2015 07,1508.0,1834.7099999999996,,1551.6525,
02/01/2015 08,1413.3575,1834.7099999999996,,1483.2999999999997,
02/01/2015 09,1246.0625,1834.7099999999996,,1426.2324999999998,
02/01/2015 10,996.5725,1834.7099999999996,,1357.065,
02/01/2015 11,1143.8125,1834.7099999999996,,1271.76,
02/01/2015 12,1124.8725,1834.7099999999996,,1193.6175,
02/01/2015 13,1184.5725,1834.7099999999996,,1134.44,
02/01/2015 14,1145.4225,1834.7099999999996,,1116.875,
02/01/2015 15,1120.175,1834.7099999999996,,1097.4450000000002,
02/01/2015 16,1122.24,1834.7099999999996,,1070.7725,
02/01/2015 17,1119.3975,1834.7099999999996,,1040.675,
02/01/2015 18,1125.93,1834.7099999999996,,1017.3675,
02/01/2015 19,1100.3899999999999,1834.7099999999996,,971.0275,
02/01/2015 20,1066.06,1834.7099999999996,,881.8475,
02/01/2015 21,1027.9724999999999,1834.7099999999996,,791.74,
02/01/2015 22,924.0475,1834.7099999999996,,686.765,
02/01/2015 23,787.3625,1834.7099999999996,,565.8975,
03/01/2015 00,723.365,1834.7099999999996,,632.25,
03/01/2015 01,574.8825,1834.7099999999996,,585.665,
03/01/2015 02,480.4725,1834.7099999999996,,602.1975,
03/01/2015 03,597.5725,1834.7099999999996,,622.6675,
03/01/2015 04,736.335,1834.7099999999996,,622.0825,
03/01/2015 05,937.96,1834.7099999999996,,620.9575,
03/01/2015 06,971.76,1834.7099999999996,,625.605,
03/01/2015 07,777.95,1834.7099999999996,,661.505,
03/01/2015 08,741.0525,1834.7099999999996,,739.9675,
03/01/2015 09,770.45,1834.7099999999996,,820.115,
03/01/2015 10,613.9875000000001,1834.7099999999996,,830.3399999999999,
03/01/2015 11,371.2525,1834.7099999999996,,732.345,
03/01/2015 12,438.9675,1834.7099999999996,,663.0425,
03/01/2015 13,420.94,1834.7099999999996,,649.795,
03/01/2015 14,304.64,1834.7099999999996,,706.6125,
03/01/2015 15,235.3775,1834.7099999999996,,740.415,
